编号,数据集来源,语言,漏洞类型,CWE编号,函数/文件描述,漏洞行数,选择理由
C_SAMPLE_001,Synthetic / multi-swe-bench,C,Buffer Overflow,CWE-120,演示 classic_strcpy 漏洞模式,5,覆盖 CWE-120 典型模式，风险等级 高风险
C_SAMPLE_002,Synthetic / multi-swe-bench,C,Stack Buffer Overflow,CWE-121,演示 stack_overflow 漏洞模式,5,覆盖 CWE-121 典型模式，风险等级 高风险
C_SAMPLE_003,Synthetic / Vul4J,C,Heap Buffer Overflow,CWE-122,演示 heap_overflow 漏洞模式,7,覆盖 CWE-122 典型模式，风险等级 高风险
C_SAMPLE_004,Synthetic / Devign,C,Integer Overflow,CWE-190,演示 int_overflow 漏洞模式,4,覆盖 CWE-190 典型模式，风险等级 中风险
C_SAMPLE_005,Synthetic / Devign,C,Integer Underflow,CWE-191,演示 int_underflow 漏洞模式,4,覆盖 CWE-191 典型模式，风险等级 中风险
C_SAMPLE_006,Synthetic / Devign,C,Double Free,CWE-415,演示 double_free 漏洞模式,5,覆盖 CWE-415 典型模式，风险等级 高风险
C_SAMPLE_007,Synthetic / multi-swe-bench,C,Use After Free,CWE-416,演示 use_after_free 漏洞模式,7,覆盖 CWE-416 典型模式，风险等级 高风险
C_SAMPLE_008,Synthetic / multi-swe-bench,C,NULL Pointer Dereference,CWE-476,演示 null_deref 漏洞模式,4,覆盖 CWE-476 典型模式，风险等级 中风险
C_SAMPLE_009,Synthetic / PrimeVul,C,Use of Uninitialized Variable,CWE-457,演示 uninit_var 漏洞模式,8,覆盖 CWE-457 典型模式，风险等级 中风险
C_SAMPLE_010,Synthetic / multi-swe-bench,C,Uncontrolled Format String,CWE-134,演示 format_string 漏洞模式,4,覆盖 CWE-134 典型模式，风险等级 高风险
C_SAMPLE_011,Synthetic / multi-swe-bench,C,OS Command Injection,CWE-78,演示 cmd_injection 漏洞模式,4,覆盖 CWE-78 典型模式，风险等级 高风险
C_SAMPLE_012,Synthetic / multi-swe-bench,C,Path Traversal,CWE-22,演示 path_traversal 漏洞模式,4,覆盖 CWE-22 典型模式，风险等级 中风险
C_SAMPLE_013,Synthetic / Devign,C,Signed to Unsigned Conversion Error,CWE-195,演示 sign_conv 漏洞模式,6,覆盖 CWE-195 典型模式，风险等级 中风险
C_SAMPLE_014,Synthetic / Devign,C,Out-of-bounds Write,CWE-787,演示 oob_write 漏洞模式,5,覆盖 CWE-787 典型模式，风险等级 高风险
C_SAMPLE_015,Synthetic / multi-swe-bench,C,Improper Restriction of Operations within Buffer,CWE-119,演示 buffer_ops 漏洞模式,6,覆盖 CWE-119 典型模式，风险等级 高风险
C_SAMPLE_016,Synthetic / Devign,C,Buffer Overflow,CWE-120,演示 classic_strcpy 漏洞模式,6,覆盖 CWE-120 典型模式，风险等级 高风险
C_SAMPLE_017,Synthetic / PrimeVul,C,Stack Buffer Overflow,CWE-121,演示 stack_overflow 漏洞模式,6,覆盖 CWE-121 典型模式，风险等级 高风险
C_SAMPLE_018,Synthetic / Devign,C,Heap Buffer Overflow,CWE-122,演示 heap_overflow 漏洞模式,8,覆盖 CWE-122 典型模式，风险等级 高风险
C_SAMPLE_019,Synthetic / PrimeVul,C,Integer Overflow,CWE-190,演示 int_overflow 漏洞模式,5,覆盖 CWE-190 典型模式，风险等级 中风险
C_SAMPLE_020,Synthetic / Vul4J,C,Integer Underflow,CWE-191,演示 int_underflow 漏洞模式,5,覆盖 CWE-191 典型模式，风险等级 中风险
C_SAMPLE_021,Synthetic / multi-swe-bench,C,Double Free,CWE-415,演示 double_free 漏洞模式,6,覆盖 CWE-415 典型模式，风险等级 高风险
C_SAMPLE_022,Synthetic / Devign,C,Use After Free,CWE-416,演示 use_after_free 漏洞模式,8,覆盖 CWE-416 典型模式，风险等级 高风险
C_SAMPLE_023,Synthetic / PrimeVul,C,NULL Pointer Dereference,CWE-476,演示 null_deref 漏洞模式,5,覆盖 CWE-476 典型模式，风险等级 中风险
C_SAMPLE_024,Synthetic / Vul4J,C,Use of Uninitialized Variable,CWE-457,演示 uninit_var 漏洞模式,9,覆盖 CWE-457 典型模式，风险等级 中风险
C_SAMPLE_025,Synthetic / Vul4J,C,Uncontrolled Format String,CWE-134,演示 format_string 漏洞模式,5,覆盖 CWE-134 典型模式，风险等级 高风险
C_SAMPLE_026,Synthetic / Devign,C,OS Command Injection,CWE-78,演示 cmd_injection 漏洞模式,5,覆盖 CWE-78 典型模式，风险等级 高风险
C_SAMPLE_027,Synthetic / Devign,C,Path Traversal,CWE-22,演示 path_traversal 漏洞模式,5,覆盖 CWE-22 典型模式，风险等级 中风险
C_SAMPLE_028,Synthetic / Vul4J,C,Signed to Unsigned Conversion Error,CWE-195,演示 sign_conv 漏洞模式,7,覆盖 CWE-195 典型模式，风险等级 中风险
C_SAMPLE_029,Synthetic / multi-swe-bench,C,Out-of-bounds Write,CWE-787,演示 oob_write 漏洞模式,6,覆盖 CWE-787 典型模式，风险等级 高风险
C_SAMPLE_030,Synthetic / multi-swe-bench,C,Improper Restriction of Operations within Buffer,CWE-119,演示 buffer_ops 漏洞模式,7,覆盖 CWE-119 典型模式，风险等级 高风险
C_SAMPLE_031,Synthetic / PrimeVul,C,Buffer Overflow,CWE-120,演示 classic_strcpy 漏洞模式,6,覆盖 CWE-120 典型模式，风险等级 高风险
C_SAMPLE_032,Synthetic / multi-swe-bench,C,Stack Buffer Overflow,CWE-121,演示 stack_overflow 漏洞模式,6,覆盖 CWE-121 典型模式，风险等级 高风险
C_SAMPLE_033,Synthetic / Vul4J,C,Heap Buffer Overflow,CWE-122,演示 heap_overflow 漏洞模式,8,覆盖 CWE-122 典型模式，风险等级 高风险
C_SAMPLE_034,Synthetic / Vul4J,C,Integer Overflow,CWE-190,演示 int_overflow 漏洞模式,5,覆盖 CWE-190 典型模式，风险等级 中风险
C_SAMPLE_035,Synthetic / Vul4J,C,Integer Underflow,CWE-191,演示 int_underflow 漏洞模式,5,覆盖 CWE-191 典型模式，风险等级 中风险
C_SAMPLE_036,Synthetic / multi-swe-bench,C,Double Free,CWE-415,演示 double_free 漏洞模式,6,覆盖 CWE-415 典型模式，风险等级 高风险
C_SAMPLE_037,Synthetic / PrimeVul,C,Use After Free,CWE-416,演示 use_after_free 漏洞模式,8,覆盖 CWE-416 典型模式，风险等级 高风险
C_SAMPLE_038,Synthetic / multi-swe-bench,C,NULL Pointer Dereference,CWE-476,演示 null_deref 漏洞模式,5,覆盖 CWE-476 典型模式，风险等级 中风险
C_SAMPLE_039,Synthetic / PrimeVul,C,Use of Uninitialized Variable,CWE-457,演示 uninit_var 漏洞模式,9,覆盖 CWE-457 典型模式，风险等级 中风险
